,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
21,M1,"INSP_MEC_BOMBA_ACQUATRON F1MA 1,5/12",TEC-MEC,MBOM109,MBOM109M1,10,Inspec mecanica de presio y caudal 1M,TEC-MEC,PM01,1.0,0.5,MBOM109M110,,
22,M1,"INSP_MEC_BOMBA_ACQUATRON F1MA 1,5/12",TEC-MEC,MBOM109,MBOM109M1,20,Reemplazo inyectores de bomba 1A,TEC-MEC,PM01,2.0,0.5,MBOM109M120,,
23,M2,"PREV_MEC_BOMBA_ACQUATRON F1MA 1,5/12",TEC-MEC,MBOM109,MBOM109M2,10,Cambio d diafragma de bomba 1A,TEC-MEC,PM01,2.0,2.0,MBOM109M210,,
24,M2,"PREV_MEC_BOMBA_ACQUATRON F1MA 1,5/12",TEC-MEC,MBOM109,MBOM109M2,20,Limp inyectores bomba dosificadora 1M,TEC-MEC,PM01,2.0,2.0,MBOM109M220,,
25,M2,"PREV_MEC_BOMBA_ACQUATRON F1MA 1,5/12",TEC-MEC,MBOM109,MBOM109M2,30,Reemplazo tuberia/sellos de bomba 1A,TEC-MEC,PM01,2.0,1.0,MBOM109M230,,
26,E1,"INSP_ELE_BOMBA_ACQUATRON F1MA 1,5/12",TEC-ELE,MBOM109,MBOM109E1,10,Inspeccion general bomba 1M,TEC-ELE,PM01,2.0,1.1,MBOM109E110,,
27,E2,"PREV_ELE_BOMBA_ACQUATRON F1MA 1,5/12",TEC-ELE,MBOM109,MBOM109E2,10,Mant botonera de campo d bomba 1M,TEC-ELE,PM01,2.0,0.5,MBOM109E210,,
28,E2,"PREV_ELE_BOMBA_ACQUATRON F1MA 1,5/12",TEC-ELE,MBOM109,MBOM109E2,20,Mant caja d conexiones panel/bomba 1A,TEC-ELE,PM01,2.0,1.0,MBOM109E220,,
29,E2,"PREV_ELE_BOMBA_ACQUATRON F1MA 1,5/12",TEC-ELE,MBOM109,MBOM109E2,30,Mtto general motor 1A,TEC-ELE,PM01,2.0,1.3,MBOM109E230,,
30,I1,"INSP_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I1,10,Inspec instrumentos d bomba dosific 1M,TEC-INS,PM01,2.0,0.5,MBOM109I110,,
31,I2,"PREV_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I2,10,Mant instrumentos bomba dosificad 1A,TEC-INS,PM01,2.0,2.0,MBOM109I210,,
32,I2,"PREV_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I2,20,Contrastacion/ajuste transmisores 1A,TEC-INS,PM01,2.0,1.0,MBOM109I220,,
33,I3,"INSP_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I3,10,Inspec instrumentos d bomba dosific 1M,TEC-INS,PM01,2.0,0.5,MBOM109I310,,
34,I4,"PREV_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I4,10,Mant instrumentos bomba dosificad 1A,TEC-INS,PM01,2.0,2.0,MBOM109I410,,
35,I4,"PREV_INS_BOMBA_ACQUATRON F1MA 1,5/12",TEC-INS,MBOM109,MBOM109I4,20,Contrastacion/ajuste transmisores 1A,TEC-INS,PM01,2.0,1.0,MBOM109I420,,
36,M1,INSP_MEC_BOMBA_ S20,TEC-MEC,MBOM110,MBOM110M1,10,Inspeccion general bomba 6S,TEC-MEC,PM01,2.0,0.8,MBOM110M110,,
37,M1,INSP_MEC_BOMBA_ PU349,TEC-MEC,MBOM111,MBOM111M1,10,Inspeccion general bomba 1M,TEC-MEC,PM01,2.0,1.6,MBOM111M110,,
38,M2,PREV_MEC_BOMBA_ PU349,TEC-MEC,MBOM111,MBOM111M2,10,Ajuste pernos de cabezal de bomba 3M,TEC-MEC,PM01,2.0,0.5,MBOM111M210,,
39,M2,PREV_MEC_BOMBA_ PU349,TEC-MEC,MBOM111,MBOM111M2,20,Limpieza general de bomba 3M,TEC-MEC,PM01,2.0,1.0,MBOM111M220,,
40,E1,INSP_ELE_BOMBA_ PU349,TEC-ELE,MBOM111,MBOM111E1,10,Inspeccion general bomba 1M,TEC-ELE,PM01,2.0,1.3,MBOM111E110,,
41,M1,INSP_MEC_BOMBA_ PU350,TEC-MEC,MBOM112,MBOM112M1,10,Inspeccion general bomba 1M,TEC-MEC,PM01,2.0,1.6,MBOM112M110,,
42,M2,PREV_MEC_BOMBA_ PU350,TEC-MEC,MBOM112,MBOM112M2,10,Ajuste pernos de cabezal de bomba 3M,TEC-MEC,PM01,2.0,0.5,MBOM112M210,,
43,M2,PREV_MEC_BOMBA_ PU350,TEC-MEC,MBOM112,MBOM112M2,20,Limpieza general de bomba 3M,TEC-MEC,PM01,2.0,1.0,MBOM112M220,,
44,E1,INSP_ELE_BOMBA_ PU350,TEC-ELE,MBOM112,MBOM112E1,10,Inspeccion general bomba 1M,TEC-ELE,PM01,2.0,1.3,MBOM112E110,,
45,M1,INSP_MEC_BOMBA_ PU351,TEC-MEC,MBOM113,MBOM113M1,10,Inspeccion general bomba 1M,TEC-MEC,PM01,2.0,1.6,MBOM113M110,,
46,M2,PREV_MEC_BOMBA_ PU351,TEC-MEC,MBOM113,MBOM113M2,10,Ajuste pernos de cabezal de bomba 3M,TEC-MEC,PM01,2.0,0.5,MBOM113M210,,
47,M2,PREV_MEC_BOMBA_ PU351,TEC-MEC,MBOM113,MBOM113M2,20,Limpieza general de bomba 3M,TEC-MEC,PM01,2.0,1.0,MBOM113M220,,
