,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
121,M2,PREV_MEC_TOLVI_ BN212,TEC-MEC,MTOL021,MTOL021M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL021M210
122,M2,PREV_MEC_TOLVI_ BN212,TEC-MEC,MTOL021,MTOL021M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL021M220
123,I1,INSP_INS_TOLVI_ BN212,TEC-INS,MTOL021,MTOL021I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL021I110
124,I2,PREV_INS_TOLVI_ BN212,TEC-INS,MTOL021,MTOL021I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL021I210
125,I2,PREV_INS_TOLVI_ BN212,TEC-INS,MTOL021,MTOL021I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL021I220
126,M1,INSP_MEC_CHUTE_ CH301,TEC-MEC,MCHU001,MCHU001M1,10,Insp desgast placas revest d chute 2000H,TEC-MEC,PM01,2.0,2.0,MCHU001M110
127,M2,PREV_MEC_CHUTE_ CH301,TEC-MEC,MCHU001,MCHU001M2,10,Camb mayor placas desgast d chute 8000H,TEC-MEC,PM01,4.0,10.0,MCHU001M210
128,M2,PREV_MEC_CHUTE_ CH301,TEC-MEC,MCHU001,MCHU001M2,20,Mtto general chute 2000H,TEC-MEC,PM01,2.0,14.0,MCHU001M220
129,I1,INSP_INS_CHUTE_ CH301,TEC-INS,MCHU001,MCHU001I1,10,Inspeccionar instrumentos de chute 1M,TEC-INS,PM01,2.0,1.0,MCHU001I110
130,I2,PREV_INS_CHUTE_ CH301,TEC-INS,MCHU001,MCHU001I2,10,Limp y mtto d instrumentos d chute 8000H,TEC-INS,PM01,2.0,2.5,MCHU001I210
131,I2,PREV_INS_CHUTE_ CH301,TEC-INS,MCHU001,MCHU001I2,20,Contrast de transmisores de chute 8000H,TEC-INS,PM01,2.0,1.0,MCHU001I220
132,M1,INSP_MEC_CHUTE_ CH302,TEC-MEC,MCHU002,MCHU002M1,10,Insp desgast placas revest d chute 2000H,TEC-MEC,PM01,2.0,2.0,MCHU002M110
133,M2,PREV_MEC_CHUTE_ CH302,TEC-MEC,MCHU002,MCHU002M2,10,Camb mayor placas desgast d chute 8000H,TEC-MEC,PM01,4.0,10.0,MCHU002M210
134,M2,PREV_MEC_CHUTE_ CH302,TEC-MEC,MCHU002,MCHU002M2,20,Mtto general chute 2000H,TEC-MEC,PM01,2.0,14.0,MCHU002M220
135,I1,INSP_INS_CHUTE_ CH302,TEC-INS,MCHU002,MCHU002I1,10,Inspeccionar instrumentos de chute 1M,TEC-INS,PM01,2.0,1.0,MCHU002I110
136,I2,PREV_INS_CHUTE_ CH302,TEC-INS,MCHU002,MCHU002I2,10,Limp y mtto d instrumentos d chute 8000H,TEC-INS,PM01,2.0,2.5,MCHU002I210
137,I2,PREV_INS_CHUTE_ CH302,TEC-INS,MCHU002,MCHU002I2,20,Contrast de transmisores de chute 8000H,TEC-INS,PM01,2.0,1.0,MCHU002I220
138,M1,INSP_MEC_CHUTE_ CH303,TEC-MEC,MCHU003,MCHU003M1,10,Insp desgast placas revest d chute 2000H,TEC-MEC,PM01,2.0,2.0,MCHU003M110
139,M2,PREV_MEC_CHUTE_ CH303,TEC-MEC,MCHU003,MCHU003M2,10,Camb mayor placas desgast d chute 8000H,TEC-MEC,PM01,4.0,10.0,MCHU003M210
140,M2,PREV_MEC_CHUTE_ CH303,TEC-MEC,MCHU003,MCHU003M2,20,Mtto general chute 2000H,TEC-MEC,PM01,2.0,14.0,MCHU003M220
141,I1,INSP_INS_CHUTE_ CH303,TEC-INS,MCHU003,MCHU003I1,10,Inspeccionar instrumentos de chute 1M,TEC-INS,PM01,2.0,1.0,MCHU003I110
142,I2,PREV_INS_CHUTE_ CH303,TEC-INS,MCHU003,MCHU003I2,10,Limp y mtto d instrumentos d chute 8000H,TEC-INS,PM01,2.0,2.5,MCHU003I210
143,I2,PREV_INS_CHUTE_ CH303,TEC-INS,MCHU003,MCHU003I2,20,Contrast de transmisores de chute 8000H,TEC-INS,PM01,2.0,1.0,MCHU003I220
144,M1,INSP_MEC_CHUTE_ CH304,TEC-MEC,MCHU004,MCHU004M1,10,Insp desgast placas revest d chute 2000H,TEC-MEC,PM01,2.0,2.0,MCHU004M110
145,M2,PREV_MEC_CHUTE_ CH304,TEC-MEC,MCHU004,MCHU004M2,10,Camb mayor placas desgast d chute 8000H,TEC-MEC,PM01,4.0,10.0,MCHU004M210
146,M2,PREV_MEC_CHUTE_ CH304,TEC-MEC,MCHU004,MCHU004M2,20,Mtto general chute 2000H,TEC-MEC,PM01,2.0,14.0,MCHU004M220
147,I1,INSP_INS_CHUTE_ CH304,TEC-INS,MCHU004,MCHU004I1,10,Inspeccionar instrumentos de chute 1M,TEC-INS,PM01,2.0,1.0,MCHU004I110
