key_dutie,Resource Type,Cod. Material,Cantidad
3351-PU-372|02-02-04,Materials,3040271,1
3351-PU-372|02-02-04,Materials,3040330,1
3351-PU-372|02-02-04,Materials,3040272,2
3351-PU-372|02-02-06,Materials,2518155,0.14
3351-PU-372|02-03-02,Materials,3040274,1
3351-PU-373|02-01-01,Materials,3040267,1
3351-PU-373|02-02-01,Materials,3040268,1
3351-PU-373|02-02-01,Materials,3040269,1
3351-PU-373|02-02-01,Materials,3040361,3
3351-PU-373|02-02-01,Materials,3040270,1
3351-PU-373|02-02-01,Materials,3040271,1
3351-PU-373|02-02-01,Materials,3040330,1
3351-PU-373|02-02-01,Materials,3040272,2
3351-PU-373|02-03-01,Materials,3040274,1
3351-PU-374|02-01-01,Materials,3040267,1
3351-PU-374|02-02-01,Materials,3040268,1
3351-PU-374|02-02-01,Materials,3040269,1
3351-PU-374|02-02-01,Materials,3040361,3
3351-PU-374|02-02-01,Materials,3040270,1
3351-PU-374|02-02-01,Materials,3040271,1
3351-PU-374|02-02-01,Materials,3040330,1
3351-PU-374|02-02-01,Materials,3040272,2
3351-PU-374|02-03-01,Materials,3040274,1
2263-PU-223|02-01-01,Materials,3040119,2
2263-PU-223|02-01-01,Materials,3040120,1
2262-CP-210|02-01-03,Materials,3041145,1
2262-CP-210|02-02-03,Materials,3041188,1
2262-CP-210|02-02-04,Materials,3041190,1
2262-CP-210|03-01-03,Materials,3041191,1
2262-CP-210|02-02-05,Materials,2525585,10
2262-CP-210|03-02-02,Materials,3041192,1
2262-CP-210|03-02-02,Materials,3041193,1
2262-CP-210|03-02-02,Materials,3041194,1
2262-CP-210|01-03-02,Materials,3041195,1
3251-PU-322|01-01-09,Materials,2530833,0.1
3251-PU-322|02-02-06,Materials,2518155,0.1
3251-PU-322|02-02-04,Materials,3040323,1
3251-PU-322|02-02-04,Materials,3040324,1
3251-PU-322|02-02-04,Materials,3040325,1
3251-PU-322|02-02-04,Materials,3040326,3
3251-PU-322|02-02-04,Materials,3040327,1
3251-PU-322|02-02-04,Materials,3040328,1
3251-PU-322|02-02-04,Materials,3040329,1
3251-PU-322|02-02-04,Materials,3040330,2
3251-PU-322|02-04-01,Materials,3040321,1
3251-PU-322|02-01-03,Materials,3040322,1
3251-PU-322|02-03-02,Materials,3040332,1
3251-PU-323|02-02-01,Materials,3040323,1
3251-PU-323|02-02-01,Materials,3040324,1
3251-PU-323|02-02-01,Materials,3040325,1
3251-PU-323|02-02-01,Materials,3040326,3
3251-PU-323|02-02-01,Materials,3040327,1
3251-PU-323|02-02-01,Materials,3040328,1
3251-PU-323|02-02-01,Materials,3040329,1
3251-PU-323|02-02-01,Materials,3040330,2
3251-PU-323|02-04-01,Materials,3040321,1
3251-PU-323|02-01-01,Materials,3040322,1
3251-PU-323|02-03-01,Materials,3040332,1
3131-SC-301|01-08-08,Materials,2521376,5.291005291
3131-SC-301|01-08-09,Materials,2518155,0.03
3131-SC-301|01-06-07,Materials,2518155,0.05
3131-SC-301|01-07-02,Materials,2518155,0.05
3131-SC-301|01-01-10,Materials,2530835,0.08
3131-SC-301|02-04-10,Materials,3043626,8
3131-SC-301|01-08-01,Materials,3043618,1
3131-SC-301|01-08-04,Materials,3043613,2
3131-SC-301|02-01-02,Materials,2524812,56
3131-SC-301|02-01-02,Materials,2524812,56
3131-SC-301|01-06-03,Materials,3043622,1
3131-SC-301|01-06-03,Materials,3043623,1
3131-SC-301|02-01-02,Materials,2524813,20
3131-SC-301|02-01-03,Materials,2524814,20
3142-SC-302|01-08-08,Materials,2521376,5.291005291
3142-SC-302|01-08-09,Materials,2518155,0.03
3142-SC-302|01-06-07,Materials,2518155,0.05
3142-SC-302|01-07-02,Materials,2518155,0.05
3142-SC-302|01-01-10,Materials,2530835,0.08
3142-SC-302|02-04-10,Materials,3043626,8
3142-SC-302|01-08-01,Materials,3043618,1
3142-SC-302|01-08-04,Materials,3043613,2
3142-SC-302|02-01-02,Materials,2524812,56
3142-SC-302|02-01-02,Materials,2524812,56
3142-SC-302|01-06-03,Materials,3043622,1
3142-SC-302|01-06-03,Materials,3043623,1
3142-SC-302|02-01-02,Materials,2524813,20
3142-SC-302|02-01-03,Materials,2524814,20
3142-SC-303|01-04-01,Materials,3043618,1
3142-SC-303|01-04-02,Materials,3043613,2
3142-SC-303|02-01-01,Materials,2524812,56
3142-SC-303|02-01-01,Materials,2524812,56
3142-SC-303|01-02-01,Materials,3043622,1
3142-SC-303|01-02-01,Materials,3043623,1
3142-SC-303|02-01-01,Materials,2524813,20
3142-SC-303|02-01-02,Materials,2524814,20
3142-SC-304|01-04-01,Materials,3043618,1
3142-SC-304|01-04-02,Materials,3043613,2
3142-SC-304|02-01-01,Materials,2524812,56
3142-SC-304|02-01-01,Materials,2524812,56
3142-SC-304|01-02-01,Materials,3043622,1
3142-SC-304|01-02-01,Materials,3043623,1
