Asset tag,key_system,System
3131-SC-301,3131-SC-301|03,
3132-BN-304,3132-BN-304|01,
3132-BN-304,3132-BN-304|02,
3132-CH-318,3132-CH-318|01,
3132-CH-318,3132-CH-318|02,
3132-CH-319,3132-CH-319|01,
3132-CH-319,3132-CH-319|02,
3132-CH-320,3132-CH-320|01,
3132-CH-320,3132-CH-320|02,
3132-CH-321,3132-CH-321|01,
3132-CH-321,3132-CH-321|02,
3132-CR-302,3132-CR-302|01,
3132-CR-302,3132-CR-302|02,
3132-CR-302,3132-CR-302|03,
3132-CR-302,3132-CR-302|04,
3132-CR-302,3132-CR-302|05,
3132-CR-302,3132-CR-302|06,
3132-CR-302,3132-CR-302|07,
3132-CV-304,3132-CV-304|01,
3132-CV-304,3132-CV-304|02,
3132-CV-304,3132-CV-304|03,
3132-CV-304,3132-CV-304|04,
3132-CV-304,3132-CV-304|05,
3132-CV-305,3132-CV-305|01,
3132-CV-305,3132-CV-305|02,
3132-CV-305,3132-CV-305|03,
3132-CV-305,3132-CV-305|04,
3132-CV-305,3132-CV-305|05,
3132-FE-305,3132-FE-305|01,
3132-FE-305,3132-FE-305|02,
3132-FE-305,3132-FE-305|03,
3132-FE-305,3132-FE-305|04,
3132-FE-305,3132-FE-305|05,
3133-CH-322,3133-CH-322|01,
3133-CH-322,3133-CH-322|02,
3133-CV-308,3133-CV-308|01,
3133-CV-308,3133-CV-308|02,
3133-CV-308,3133-CV-308|03,
3133-CV-308,3133-CV-308|04,
3133-CV-308,3133-CV-308|05,
3134-BH-301,3134-BH-301|01,
3134-BH-301,3134-BH-301|02,
3134-BH-301,3134-BH-301|03,
3141-BN-305,3141-BN-305|01,
3141-BN-305,3141-BN-305|02,
3141-BN-308,3141-BN-308|01,
3141-BN-308,3141-BN-308|02,
3141-BN-309,3141-BN-309|01,
3141-BN-309,3141-BN-309|02,
3141-BN-310,3141-BN-310|01,
3141-BN-310,3141-BN-310|02,
3141-CH-323,3141-CH-323|01,
3141-CH-323,3141-CH-323|02,
3141-CH-324,3141-CH-324|01,
3141-CH-324,3141-CH-324|02,
3141-CH-325,3141-CH-325|01,
3141-CH-325,3141-CH-325|02,
3141-CH-326,3141-CH-326|01,
3141-CH-326,3141-CH-326|02,
3141-CH-327,3141-CH-327|01,
3141-CH-327,3141-CH-327|02,
3141-CV-309,3141-CV-309|01,
3141-CV-309,3141-CV-309|02,
3141-CV-309,3141-CV-309|03,
3141-CV-309,3141-CV-309|04,
3141-CV-309,3141-CV-309|05,
3142-CH-328,3142-CH-328|01,
3142-CH-328,3142-CH-328|02,
3142-CH-329,3142-CH-329|01,
3142-CH-329,3142-CH-329|02,
3142-CH-330,3142-CH-330|01,
3142-CH-330,3142-CH-330|02,
3142-CH-331,3142-CH-331|01,
3142-CH-331,3142-CH-331|02,
3142-CH-332,3142-CH-332|01,
3142-CH-332,3142-CH-332|02,
3142-CH-333,3142-CH-333|01,
3142-CH-333,3142-CH-333|02,
3142-CH-334,3142-CH-334|01,
3142-CH-334,3142-CH-334|02,
3142-CH-335,3142-CH-335|01,
3142-CH-335,3142-CH-335|02,
3142-CH-336,3142-CH-336|01,
3142-CH-336,3142-CH-336|02,
3142-CH-337,3142-CH-337|01,
3142-CH-337,3142-CH-337|02,
3142-CH-338,3142-CH-338|01,
3142-CH-338,3142-CH-338|02,
3142-CH-339,3142-CH-339|01,
3142-CH-339,3142-CH-339|02,
3142-FE-306,3142-FE-306|01,
3142-FE-306,3142-FE-306|02,
3142-FE-306,3142-FE-306|03,
3142-SC-302,3142-SC-302|01,
3142-SC-302,3142-SC-302|02,
